doc_id,dataset,split,role,n_draws_small,n_draws_large,gap_single,f1_small_mean,f1_large_mean,f1_small_std,f1_large_std,gap_denoised,label_single,label_denoised,label_changed
receipt_00703,cord,train,flippable,6,6,0.0,0.4881,0.5,0.0266,0.0,0.0119,0,0,False
X51006555819,sroie,test,flippable,6,6,0.0,0.75,0.8333,0.0,0.1179,0.0833,0,1,True
X51008142038,sroie,train,flippable,6,6,0.0,0.25,0.25,0.0,0.0,0.0,0,0,False
X51008142033,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
X51007231338,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
X51005763940,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
receipt_00159,cord,train,flippable,6,6,0.0,0.4762,0.5714,0.1347,0.0,0.0952,0,1,True
receipt_00168,cord,train,flippable,6,6,0.0,0.3031,0.3158,0.0135,0.0,0.0127,0,0,False
receipt_00251,cord,train,flippable,6,6,0.0,0.3611,0.375,0.0196,0.0,0.0139,0,0,False
X51006414711,sroie,train,flippable,6,6,0.0,0.5417,0.75,0.0932,0.0,0.2083,0,1,True
X51006556650,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
X51005447853,sroie,train,flippable,6,6,0.0,0.5,0.5417,0.0,0.0932,0.0417,0,1,True
receipt_00370,cord,train,flippable,6,6,0.0,0.4113,0.4139,0.0119,0.0062,0.0026,0,0,False
receipt_00020,cord,test,flippable,6,6,0.0,0.6316,0.6316,0.0,0.0,0.0,0,0,False
X51006556861,sroie,train,flippable,6,6,0.0,0.75,0.7917,0.0,0.0932,0.0417,0,1,True
X51005806720,sroie,test,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
receipt_00064,cord,test,flippable,6,6,0.0,0.4,0.4,0.0,0.0,0.0,0,0,False
X51006857265,sroie,train,flippable,6,6,0.0,0.8333,0.7917,0.1179,0.0932,-0.0417,0,0,False
receipt_00351,cord,train,flippable,6,6,0.0,0.5375,0.5217,0.0112,0.0,-0.0158,0,0,False
X51006557198,sroie,train,flippable,6,6,0.0,0.75,0.7917,0.0,0.0932,0.0417,0,1,True
receipt_00006,cord,test,flippable,6,6,0.0,0.4568,0.5,0.0611,0.0,0.0432,0,1,True
receipt_00175,cord,train,flippable,6,6,0.0,0.5,0.5,0.0,0.0,0.0,0,0,False
X51006389884,sroie,train,flippable,6,6,0.0,0.5,0.5833,0.0,0.1179,0.0833,0,1,True
X51006557213,sroie,train,flippable,6,6,0.0,0.75,0.9167,0.0,0.1179,0.1667,0,1,True
X51005444033,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
X51005568899,sroie,train,flippable,6,6,0.0,0.75,0.75,0.0,0.0,0.0,0,0,False
receipt_00164,cord,train,flippable,6,6,0.0221,0.3162,0.375,0.0522,0.0,0.0588,1,1,False
receipt_00076,cord,train,flippable,6,6,0.0372,0.2837,0.3529,0.0763,0.0,0.0692,1,1,False
receipt_00663,cord,train,flippable,6,6,0.0221,0.3162,0.375,0.0522,0.0,0.0588,1,1,False
receipt_00195,cord,train,flippable,6,6,0.0449,0.5459,0.5833,0.0167,0.0,0.0374,1,1,False
receipt_00669,cord,train,flippable,6,6,0.0256,0.2991,0.3333,0.0657,0.0,0.0342,1,1,False
receipt_00012,cord,test,flippable,6,6,0.0645,0.4172,0.5131,0.0915,0.0229,0.0959,1,1,False
receipt_00726,cord,train,flippable,6,6,0.019,0.8442,0.8372,0.0184,0.0,-0.0069,0,0,False
receipt_00385,cord,train,flippable,6,6,0.0257,0.5587,0.5909,0.0293,0.0,0.0322,1,1,False
receipt_00617,cord,train,flippable,6,6,0.029,0.6579,0.6763,0.041,0.0137,0.0184,1,0,True
receipt_00197,cord,train,flippable,6,6,0.0882,0.3888,0.5116,0.0325,0.0497,0.1228,1,1,False
receipt_00362,cord,train,flippable,6,6,0.0289,0.5571,0.5789,0.0071,0.0,0.0219,1,1,False
receipt_00140,cord,train,flippable,6,6,0.0556,0.4505,0.4907,0.0576,0.0207,0.0402,1,1,False
receipt_00314,cord,train,flippable,6,6,0.0536,0.4107,0.4286,0.0253,0.0,0.0179,1,0,True
receipt_00438,cord,train,flippable,6,6,0.0272,0.5944,0.6522,0.0148,0.0,0.0578,1,1,False
receipt_00085,cord,test,flippable,6,6,0.0085,0.6301,0.6585,0.0262,0.0,0.0285,0,1,True
receipt_00045,cord,train,flippable,6,6,0.0778,0.2222,0.4,0.0,0.1,0.1778,1,1,False
receipt_00312,cord,train,flippable,6,6,0.0476,0.2873,0.3333,0.0223,0.0,0.046,1,1,False
receipt_00040,cord,test,flippable,6,6,0.0277,0.5716,0.6364,0.0637,0.0,0.0648,1,1,False
receipt_00335,cord,train,flippable,6,6,0.0197,0.5585,0.5714,0.0152,0.0,0.0129,0,0,False
receipt_00659,cord,train,flippable,6,6,0.0588,0.638,0.7059,0.0138,0.0,0.0679,1,1,False
receipt_00426,cord,train,flippable,6,6,0.0357,0.626,0.6518,0.011,0.0046,0.0258,1,1,False
receipt_00004,cord,test,flippable,6,6,0.0714,0.4944,0.5714,0.0124,0.0,0.077,1,1,False
receipt_00094,cord,test,flippable,6,6,0.0971,0.6069,0.6471,0.0286,0.0,0.0401,1,1,False
receipt_00338,cord,train,flippable,6,6,0.0952,0.5714,0.6667,0.0,0.0,0.0952,1,1,False
receipt_00289,cord,train,flippable,6,6,0.0556,0.4222,0.5,0.0222,0.0,0.0778,1,1,False
receipt_00459,cord,train,flippable,6,6,0.0882,0.6494,0.7333,0.0216,0.0,0.0839,1,1,False
receipt_00710,cord,train,flippable,6,6,-0.01,0.0841,0.0769,0.0041,0.0,-0.0072,0,0,False
receipt_00099,cord,test,flippable,6,6,-0.0765,0.2098,0.1304,0.0219,0.0,-0.0793,0,0,False
receipt_00603,cord,train,flippable,6,6,-0.0309,0.5701,0.5405,0.0197,0.0,-0.0296,0,0,False
receipt_00601,cord,train,flippable,6,6,-0.0119,0.6544,0.6521,0.0194,0.0181,-0.0023,0,0,False
receipt_00181,cord,train,flippable,6,6,-0.0954,0.4677,0.3846,0.1091,0.0,-0.0831,0,0,False
receipt_00103,cord,train,flippable,6,6,-0.0199,0.5966,0.5778,0.0061,0.0,-0.0188,0,0,False
receipt_00400,cord,train,flippable,6,6,-0.0263,0.489,0.4737,0.0118,0.0,-0.0153,0,0,False
receipt_00179,cord,train,flippable,6,6,-0.0364,0.3697,0.3636,0.0136,0.0,-0.0061,0,0,False
receipt_00567,cord,train,flippable,6,6,-0.003,0.3775,0.4658,0.0374,0.1422,0.0882,0,1,True
receipt_00607,cord,train,flippable,6,6,-0.0591,0.3448,0.2857,0.0,0.0,-0.0591,0,0,False
receipt_00666,cord,train,flippable,6,6,-0.0254,0.6006,0.5833,0.0181,0.0,-0.0172,0,0,False
receipt_00664,cord,train,flippable,6,6,-0.0385,0.5,0.4615,0.0,0.0,-0.0385,0,0,False
receipt_00588,cord,train,flippable,6,6,-0.0529,0.4695,0.4598,0.0108,0.0325,-0.0098,0,0,False
receipt_00564,cord,train,flippable,6,6,-0.0133,0.3333,0.3222,0.0,0.005,-0.0111,0,0,False
receipt_00316,cord,train,flippable,6,6,-0.0018,0.6763,0.6871,0.0137,0.0152,0.0107,0,0,False
receipt_00380,cord,train,flippable,6,6,-0.0936,0.3158,0.2222,0.0,0.0,-0.0936,0,0,False
receipt_00586,cord,train,flippable,6,6,-0.0267,0.641,0.64,0.0256,0.0,-0.001,0,0,False
receipt_00418,cord,train,flippable,6,6,-0.0199,0.8442,0.8372,0.0184,0.0,-0.0069,0,0,False
receipt_00516,cord,train,flippable,6,6,-0.0135,0.4907,0.4885,0.0207,0.0203,-0.0023,0,0,False
receipt_00088,cord,train,flippable,6,6,-0.0307,0.3732,0.4163,0.0701,0.0055,0.0431,0,1,True
receipt_00321,cord,train,flippable,6,6,-0.0394,0.8801,0.8571,0.0177,0.0,-0.0229,0,0,False
receipt_00002,cord,train,flippable,6,6,-0.0693,0.4656,0.4661,0.0345,0.0258,0.0005,0,0,False
receipt_00390,cord,train,flippable,6,6,-0.0303,0.3874,0.4342,0.0335,0.0785,0.0468,0,1,True
receipt_00475,cord,train,flippable,6,6,-0.0013,0.7108,0.7083,0.0106,0.0,-0.0024,0,0,False
receipt_00129,cord,train,flippable,6,6,-0.0157,0.1297,0.1176,0.0092,0.0,-0.012,0,0,False
receipt_00030,cord,train,flippable,6,6,-0.0105,0.2053,0.2385,0.0053,0.0388,0.0333,0,1,True
receipt_00145,cord,train,control,6,6,0.2333,0.2889,0.5,0.0497,0.0,0.2111,1,1,False
X51007846325,sroie,train,control,6,6,0.25,0.75,1.0,0.0,0.0,0.25,1,1,False
receipt_00149,cord,train,control,6,6,0.1946,0.4164,0.5107,0.1023,0.0031,0.0942,1,1,False
X51006388066,sroie,train,control,6,6,0.25,0.7917,1.0,0.0932,0.0,0.2083,1,1,False
receipt_00759,cord,train,control,6,6,0.1401,0.5296,0.6786,0.0231,0.0,0.149,1,1,False
receipt_00746,cord,train,control,6,6,0.25,0.1238,0.375,0.0027,0.0,0.2512,1,1,False
X51006556828,sroie,train,control,6,6,0.25,0.75,0.7917,0.0,0.0932,0.0417,1,1,False
receipt_00153,cord,train,control,6,6,-0.2667,0.3677,0.3333,0.1223,0.0,-0.0343,0,0,False
receipt_00343,cord,train,control,6,6,0.1818,0.4929,0.6667,0.0181,0.0,0.1737,1,1,False
X51005663309,sroie,test,control,6,6,0.25,0.75,1.0,0.0,0.0,0.25,1,1,False
